Model,R_V4_encoding_synthetic,R_IT_encoding_synthetic,R_V1_encoding_synthetic,R_V2_encoding_synthetic,R_V4_encoding_illusion,R_IT_encoding_illusion,R_V1_encoding_illusion,R_V2_encoding_illusion,%R2_V4_rsa_synthetic,%R2_IT_rsa_synthetic,%R2_V1_rsa_synthetic,%R2_V2_rsa_synthetic,%R2_V4_rsa_illusion,%R2_IT_rsa_illusion,%R2_V1_rsa_illusion,%R2_V2_rsa_illusion
ResNet50,0.6623524801148406,1.032948789312396,0.30634530405541227,0.48255546497039603,0.1530194658217141,0.3479943838472188,0.1488201221709744,0.30609785449153293,-0.5921816853505533,2.72462069921162,4.654189757861616,0.7181944770213704,7.860157533892426,2.1779492943557415,8.542728834160627,3.1965450817323884
resnext101_32x8d,1.1866443223855399,0.7269909369340013,-0.16492848029859886,0.33955400641707456,0.021440192770171507,-0.033436588532463674,0.31188671535867485,0.8417629878305775,1.3282713177079088,1.8038591628703315,6.439812222751584,4.143726092765718,-16.252853644748853,-6.101634713656182,-1.3392445674075972,-6.618557686052036
resnext50_32x4d,-1.014257678061675,-0.6038506138222424,-0.8934714083305622,-0.8229119981476885,-0.5600914952529052,-1.0194237558474306,0.36863224212956425,0.55638597797752,-8.845892589956833,8.346877383599399,-8.428405710285958,-8.83970072379202,12.273284488713557,6.1544045176712885,2.253264440422811,11.648438148028461
seresnet50,0.13967040464223857,0.037954639914755006,0.6657304545984957,0.7632822452193722,-0.4433516771961834,-0.3272742032717453,0.33205542114741604,0.5638232404121268,3.1028447389438156,-0.05092130770768222,8.191631095030722,2.5204642238936685,0.6874380525266659,-4.384514447593901,-1.068607662466036,-0.07914216621684034
ShuffleNetV2x05,0.11381540317884031,-0.34674409932053507,0.34165206109814505,-0.2287322905592717,-1.17558076549291,0.3141131693342345,-0.7568428833293837,-1.0369735369427886,1.5303948194579675,0.7466188472098594,-7.514795330809562,-6.143876031360968,-13.985419501958624,-3.5432232938412795,-3.13287118004925,-5.176791681088616
ShuffleNetV2x10,0.014832363535745685,0.15972341484328823,0.37135072070357467,0.38860238511324496,0.13249152082158133,1.089706887423528,-0.4626126906035424,-0.4719429386907521,-6.021994480866077,1.7955674682175058,-8.042711090782483,-8.945234045623693,-5.239629213109957,1.2291293631441107,1.9559847386821616,-1.2192152035197523
Squeezenet1_0,-1.9524530647226257,-1.703672607414216,-1.2227212113923684,-1.951235680326512,-0.1913907230188272,-0.45786681863476275,0.20240945308312774,-0.21146914379121284,1.0890694693799219,-5.129309029134696,-0.4527099301020314,0.49075962443792776,-16.68663387055242,-11.332867321429497,2.3359994632940726,-2.9350168184669343
Squeezenet1_1,-0.1543215132895881,-0.9052273837690628,-1.3485070021531342,-1.12294957113361,-0.40749820361377687,-1.115259375518697,0.09164348263369959,0.0706980401688142,3.09990629535595,-5.751481942799543,-2.0309050098704233,-2.7710495861515696,-13.995592428156861,-7.244864003694708,-2.0078301457470786,-10.218091506449866
swin_base_patch4_window7_224,-0.8121909281940773,-0.2813153041759868,1.156479140383162,0.7391733180072748,-0.5192550513717862,0.4492783346054807,-1.9954351043383696,-1.9018654935289447,3.723898890868142,9.954657881045165,6.948532254368551,9.276478106741273,3.6389154023285144,0.9532244999487389,-1.9267773266064125,5.22456045164882
tf_efficientnet_b2_ns,0.9446395431386065,0.09653489531660853,0.7517259190501946,0.6650174363155088,0.4560095599571454,0.27841893299170195,0.18733446173509094,0.5439597828387122,-4.343409873473824,1.979009957244422,-6.818886652777742,-1.9390748630641639,9.471706154179863,6.185946498840963,-1.7111156835149472,3.7669678481499744
tf_efficientnet_b4_ns,0.4811075084580665,0.6296205082356678,1.0218242297950226,0.9101718400027252,0.011986207918425862,-0.509270897411831,-0.22677742358351338,0.021600039587774233,-5.15005675049261,3.7798604029544407,-3.147027320229043,-8.034884401814303,0.07765516925360316,-1.1922003353226671,1.0879841718988388,-2.376758561601413
